loan_id,age,gender,education,employment_status,employment_years,dependents,applicant_income,coapplicant_income,total_income,loan_amount,loan_term_months,credit_score,existing_emis,monthly_obligations,dti_ratio,collateral_value,loan_to_value,property_area,loan_status
LN000085,49,Male,Not Graduate,Salaried,9.0,0,64580,0.0,64580,197122,240,529.0,2,7240,1.4979,221394.0,0.8904,Urban,Rejected
LN000086,35,Female,Graduate,Self-Employed,5.0,0,31956,36990.0,68946,198515,240,632.0,1,9480,1.7939,268105.0,0.7404,Semiurban,Rejected
LN000087,21,Male,Graduate,Salaried,11.0,3,55181,24022.0,79203,301343,36,594.0,0,0,1.2681,209823.0,1.4362,Urban,Rejected
LN000088,45,Male,Graduate,Salaried,6.0,1,25114,0.0,25114,53898,240,654.0,1,5612,2.7886,29263.0,1.8418,Urban,Rejected
LN000089,27,Female,Graduate,Salaried,5.0,1,43404,0.0,43404,206522,120,555.0,0,0,0.4758,174305.0,1.1848,Rural,Rejected
LN000090,29,Female,Graduate,Self-Employed,5.0,3,78804,0.0,78804,150730,84,741.0,1,5566,1.1208,183621.0,0.8209,Semiurban,Approved
LN000091,44,Female,Graduate,Business,8.0,0,32911,0.0,32911,62606,60,,0,0,0.3803,108535.0,0.5768,Rural,Approved
LN000092,21,Female,Graduate,Self-Employed,11.0,0,44771,36918.0,81689,174814,60,703.0,0,0,0.4279,177211.0,0.9865,Rural,Approved
LN000093,64,Male,Graduate,Self-Employed,6.0,0,39489,19818.0,59307,103528,180,702.0,1,7964,1.7278,225324.0,0.4595,Rural,Approved
LN000094,28,Male,Graduate,Business,13.0,2,61988,0.0,61988,104504,180,632.0,2,12190,2.4721,170721.0,0.6121,Urban,Rejected
LN000095,44,Female,Graduate,Self-Employed,7.0,1,74337,28116.0,102453,208336,180,532.0,1,9369,1.2329,425440.0,0.4897,Urban,Rejected
LN000096,31,Male,Graduate,Business,7.0,2,135505,27380.0,162885,431048,360,767.0,1,6504,0.5673,708523.0,0.6084,Semiurban,Approved
LN000097,37,Female,Not Graduate,Salaried,2.0,0,34644,20180.0,54824,191331,60,800.0,1,6401,2.0989,211387.0,0.9051,Urban,Approved
LN000098,28,Male,Graduate,Business,14.0,2,90784,0.0,90784,307792,180,601.0,0,0,0.2259,347545.0,0.8856,Semiurban,Approved
LN000099,55,Male,Not Graduate,Self-Employed,3.0,1,22237,25996.0,48233,84858,240,549.0,0,0,0.0878,51242.0,1.656,Semiurban,Rejected
LN000100,55,Male,Graduate,Salaried,13.0,0,77043,0.0,77043,303998,60,762.0,3,31899,5.7576,449969.0,0.6756,Semiurban,Approved
LN000101,53,Female,Graduate,Salaried,2.0,3,47508,0.0,47508,119962,24,633.0,0,0,1.2624,232418.0,0.5161,Semiurban,Rejected
LN000102,25,Male,Graduate,Salaried,1.0,1,52596,,52596,154920,60,571.0,1,9407,2.7353,350423.0,0.4421,Semiurban,Rejected
LN000103,62,Male,Graduate,Salaried,,2,32777,0.0,32777,91314,12,554.0,2,11542,7.0114,226251.0,0.4036,Rural,Rejected
LN000104,59,Male,Not Graduate,Business,20.0,0,122813,0.0,122813,397130,120,719.0,0,0,0.3233,241428.0,1.6449,Rural,Approved
LN000105,61,Male,Graduate,Self-Employed,5.0,2,58473,44247.0,102720,165875,24,623.0,2,6925,1.6164,328109.0,0.5055,Semiurban,Rejected
LN000106,48,Male,Graduate,Unemployed,0.0,0,14823,33445.0,48268,105068,240,713.0,1,3336,0.938,173166.0,0.6067,Urban,Rejected
LN000107,27,Male,Graduate,Self-Employed,11.0,2,31938,30304.0,62242,126856,360,620.0,2,8723,1.7496,139062.0,0.9122,Semiurban,Rejected
LN000108,29,Male,Graduate,Self-Employed,7.0,2,59522,0.0,59522,256551,84,541.0,1,7384,2.1044,446003.0,0.5752,Semiurban,Rejected
LN000109,28,Male,Graduate,Salaried,6.0,0,9543,0.0,9543,32866,180,628.0,0,0,0.2289,19590.0,1.6777,Semiurban,Rejected
LN000110,32,Male,Graduate,Self-Employed,8.0,0,70599,0.0,70599,293852,240,524.0,2,17536,3.1887,690574.0,0.4255,Urban,Rejected
LN000111,54,Female,Graduate,Self-Employed,6.0,2,68886,8716.0,77602,308250,84,639.0,0,0,0.5674,387772.0,0.7949,Rural,Rejected
LN000112,53,Female,Graduate,Business,25.0,0,6015,0.0,6015,14655,180,582.0,1,7051,14.2284,21667.0,0.6764,Semiurban,Rejected
LN000113,43,Male,Graduate,Self-Employed,4.0,3,26686,,26686,87709,360,578.0,0,0,0.1093,79236.0,1.1069,Rural,Rejected
LN000114,44,Male,Not Graduate,Self-Employed,11.0,1,34503,28284.0,62787,126053,180,728.0,2,12987,2.6159,235910.0,0.5343,Urban,Approved
LN000115,57,Male,Graduate,Salaried,7.0,1,47402,0.0,47402,200675,180,641.0,0,0,0.282,447877.0,0.4481,Semiurban,Approved
LN000116,55,Female,Graduate,Self-Employed,4.0,0,5000,45134.0,50134,111141,36,477.0,0,0,0.7389,136014.0,0.8171,Urban,Rejected
LN000117,64,Male,Graduate,Business,3.0,0,157980,33475.0,191455,947089,36,632.0,1,11527,2.3714,1594823.0,0.5939,Semiurban,Rejected
LN000118,60,Male,Graduate,Self-Employed,0.0,0,36388,0.0,36388,178493,180,744.0,3,10743,3.8696,375143.0,0.4758,Urban,Rejected
LN000119,42,Female,Not Graduate,Salaried,15.0,0,84815,0.0,84815,176423,60,756.0,1,8684,1.6446,354355.0,0.4979,Rural,Approved
LN000120,47,Male,Not Graduate,Salaried,,0,40177,7066.0,47243,72061,120,685.0,0,0,0.1524,149869.0,0.4808,Urban,Approved
LN000121,55,Female,Graduate,Salaried,,1,5000,0.0,5000,10000,360,585.0,0,0,0.0648,19604.0,0.5101,Semiurban,Rejected
LN000122,21,Male,Graduate,Self-Employed,5.0,1,15481,0.0,15481,45365,360,660.0,2,12577,9.8467,74100.0,0.6122,Semiurban,Rejected
LN000123,55,Female,Graduate,Salaried,9.0,0,40287,0.0,40287,170377,120,687.0,3,18423,5.9102,403110.0,0.4227,Semiurban,Rejected
LN000124,57,Male,Not Graduate,Business,13.0,0,25315,0.0,25315,112928,36,794.0,1,3598,3.1921,188911.0,0.5978,Semiurban,Approved
LN000125,34,Female,Graduate,Salaried,5.0,1,24992,24173.0,49165,156773,360,574.0,1,7826,2.0163,318843.0,0.4917,Urban,Rejected
LN000126,23,Female,Not Graduate,Salaried,3.0,2,5000,0.0,5000,22762,120,606.0,2,20771,50.304,26850.0,0.8477,Urban,Rejected
LN000127,21,Male,Graduate,Business,2.0,1,61843,0.0,61843,284180,84,649.0,1,9768,2.5518,256418.0,1.1083,Urban,Rejected
LN000128,25,Male,Graduate,Self-Employed,8.0,3,91917,17725.0,109642,396061,360,582.0,2,12379,1.4752,503931.0,0.7859,Semiurban,Rejected
LN000129,46,Male,Not Graduate,Business,8.0,0,51133,0.0,51133,138050,360,625.0,2,21876,5.2238,263038.0,0.5248,Semiurban,Rejected
LN000130,34,Female,Not Graduate,Salaried,2.0,0,47994,0.0,47994,197111,120,,3,13030,3.6685,363224.0,0.5427,Rural,Rejected
LN000131,59,Female,Graduate,Salaried,3.0,0,23836,0.0,23836,91680,24,752.0,0,0,1.9231,77737.0,1.1794,Semiurban,Rejected
LN000132,47,Male,Not Graduate,Salaried,6.0,0,55192,0.0,55192,173168,180,,0,0,0.2092,137167.0,1.2625,Rural,Approved
LN000133,29,Female,Not Graduate,Salaried,16.0,3,32375,43035.0,75410,316356,240,665.0,4,40670,6.6816,335343.0,0.9434,Urban,Rejected
LN000134,35,Male,Not Graduate,Business,9.0,1,90092,0.0,90092,393196,12,639.0,4,46039,10.4966,201805.0,1.9484,Urban,Rejected
LN000135,35,Male,Not Graduate,Salaried,11.0,1,28165,21151.0,49316,186139,84,584.0,3,34255,8.8742,318944.0,0.5836,Urban,Rejected
LN000136,46,Female,Graduate,Unemployed,0.0,0,8275,,8275,12864,36,746.0,0,0,0.5177,30068.0,0.4278,Urban,Rejected
LN000137,62,Female,Not Graduate,Business,9.0,3,26751,18504.0,45255,141647,360,687.0,1,7620,2.1248,118221.0,1.1982,Rural,Rejected
LN000138,33,Male,Not Graduate,Self-Employed,13.0,2,95172,21573.0,116745,353529,24,674.0,2,8562,2.3941,319179.0,1.1076,Semiurban,Rejected
LN000139,52,Female,Graduate,Unemployed,0.0,1,10246,7187.0,17433,80688,360,734.0,0,0,0.1542,146052.0,0.5525,Urban,Approved
LN000140,59,Female,Graduate,Salaried,3.0,3,28064,33758.0,61822,203152,24,614.0,3,22572,6.0243,283983.0,0.7154,Semiurban,Rejected
LN000141,52,Female,Graduate,Salaried,15.0,3,35947,24940.0,60887,171212,24,779.0,2,14878,4.3381,336642.0,0.5086,Rural,Approved
LN000142,24,Female,Not Graduate,Self-Employed,9.0,0,65478,31530.0,97008,251727,120,621.0,2,17469,2.4203,243609.0,1.0333,Urban,Rejected
LN000143,50,Female,Not Graduate,Salaried,7.0,0,50095,0.0,50095,179735,84,732.0,3,13615,3.7738,138615.0,1.2966,Semiurban,Rejected
LN000144,57,Male,Graduate,Unemployed,0.0,0,7076,46589.0,53665,93876,24,560.0,1,8482,2.7712,225492.0,0.4163,Urban,Rejected
LN000145,43,Female,Graduate,Unemployed,0.0,2,13497,0.0,13497,61607,240,645.0,0,0,0.2276,147147.0,0.4187,Semiurban,Rejected
LN000146,59,Male,Graduate,Business,5.0,0,79454,0.0,79454,291688,24,735.0,0,0,1.8355,636354.0,0.4584,Urban,Approved
LN000147,35,Female,Graduate,Business,8.0,3,47044,0.0,47044,110441,24,674.0,1,11210,4.0331,226281.0,0.4881,Semiurban,Rejected
LN000148,63,Male,Graduate,Self-Employed,7.0,1,45243,0.0,45243,113072,120,767.0,4,47423,12.8281,136136.0,0.8306,Semiurban,Approved
LN000149,49,Female,Graduate,Self-Employed,7.0,3,39319,0.0,39319,183308,84,614.0,0,0,0.6659,132768.0,1.3807,Semiurban,Rejected
LN000150,56,Male,Not Graduate,Salaried,0.0,2,68173,0.0,68173,110118,36,696.0,2,13670,2.9445,158288.0,0.6957,Rural,Rejected
LN000151,33,Male,Graduate,Business,13.0,2,84698,0.0,84698,216780,36,559.0,2,9574,2.2095,209450.0,1.035,Rural,Rejected
LN000152,52,Male,Not Graduate,Salaried,4.0,1,51133,0.0,51133,129276,360,699.0,3,29518,7.0116,126365.0,1.023,Urban,Rejected
LN000153,27,Female,Graduate,Business,14.0,3,128009,0.0,128009,526138,180,643.0,3,13739,1.5619,1014821.0,0.5185,Urban,Rejected
LN000154,42,Female,Not Graduate,Unemployed,0.0,2,10453,0.0,10453,23121,60,553.0,0,0,0.442,,1.2111,Urban,Rejected
LN000155,48,Male,Graduate,Salaried,1.0,2,54148,0.0,54148,93685,84,658.0,0,0,0.2471,193386.0,0.4844,Urban,Approved
LN000156,22,Female,Graduate,Salaried,10.0,1,40420,18759.0,59179,169375,180,768.0,0,0,0.1906,286994.0,0.5902,Semiurban,Approved
LN000157,62,Female,Graduate,Salaried,16.0,3,38560,24888.0,63448,254790,36,,3,21181,5.3445,290880.0,0.8759,Urban,Rejected
LN000158,26,Female,Graduate,Business,10.0,1,67341,0.0,67341,115028,84,,0,0,0.244,82957.0,1.3866,Semiurban,Approved
LN000159,48,Male,Graduate,Business,1.0,3,61775,3380.0,65155,136883,12,660.0,0,0,2.1007,173086.0,0.7908,Urban,Rejected
LN000160,48,Female,Graduate,Self-Employed,12.0,1,68149,,68149,253036,180,651.0,0,0,0.2474,542871.0,0.4661,Urban,Approved
LN000161,64,Female,Not Graduate,Business,11.0,2,37452,0.0,37452,148812,360,578.0,1,10209,3.4034,,0.6301,Rural,Rejected
LN000162,64,Female,Graduate,Salaried,10.0,3,22556,0.0,22556,34005,360,686.0,1,6687,3.6076,84675.0,0.4016,Urban,Rejected
LN000163,40,Female,Not Graduate,Self-Employed,7.0,1,77203,21775.0,98978,472883,180,581.0,0,0,0.3185,859352.0,0.5503,Urban,Approved
LN000164,50,Female,Graduate,Self-Employed,7.0,1,84117,0.0,84117,237863,240,797.0,0,0,0.1414,399399.0,0.5956,Urban,Approved
LN000165,31,Female,Not Graduate,Salaried,14.0,1,65339,20923.0,86262,238571,240,572.0,0,0,0.1383,170702.0,1.3976,Urban,Rejected
LN000166,48,Male,Graduate,Salaried,13.0,0,33896,0.0,33896,150312,12,756.0,1,4056,5.8704,186064.0,0.8079,Rural,Approved
LN000167,45,Male,Graduate,Business,13.0,2,10951,0.0,10951,20625,60,529.0,1,10390,11.7611,40047.0,0.515,Semiurban,Rejected
LN000168,59,Male,Graduate,Unemployed,0.0,0,5000,0.0,5000,11565,24,647.0,2,8187,20.8032,20999.0,0.5507,Semiurban,Rejected
LN000169,53,Male,Not Graduate,Self-Employed,11.0,1,88237,29526.0,117763,528618,84,610.0,1,7312,1.3863,1074838.0,0.4918,Rural,Rejected
LN000170,21,Female,Graduate,Business,13.0,1,114729,0.0,114729,398358,36,582.0,0,0,1.1573,898686.0,0.4433,Rural,Rejected
LN000171,47,Female,Graduate,Salaried,15.0,0,46919,27137.0,74056,270554,120,704.0,3,30456,5.3003,599505.0,0.4513,Urban,Approved
LN000172,33,Female,Graduate,Unemployed,0.0,2,13182,0.0,13182,33869,60,700.0,0,0,0.5134,24399.0,1.3881,Urban,Rejected
LN000173,61,Male,Graduate,Salaried,5.0,0,50265,0.0,50265,169389,60,542.0,2,16011,4.4963,185019.0,0.9155,Urban,Rejected
LN000174,23,Male,Graduate,Self-Employed,10.0,2,102398,0.0,102398,454587,360,664.0,2,20931,2.6008,1073079.0,0.4236,Urban,Approved
LN000175,59,Male,Graduate,Salaried,6.0,0,23633,17718.0,41351,204196,360,674.0,0,0,0.1645,293817.0,0.695,Semiurban,Approved
LN000176,26,Male,Not Graduate,Business,6.0,0,44947,0.0,44947,128511,60,670.0,1,11757,3.7105,213549.0,0.6018,Urban,Approved
LN000177,28,Male,Graduate,Salaried,9.0,1,47312,17463.0,64775,133522,60,634.0,1,3060,0.9791,313939.0,0.4253,Urban,Rejected
LN000178,47,Female,Not Graduate,Salaried,7.0,0,51547,,76435,211338,240,578.0,3,23014,3.7513,285045.0,0.7414,Semiurban,Rejected
LN000179,29,Male,Graduate,Salaried,9.0,1,21881,0.0,21881,59369,180,759.0,1,4980,2.9116,140094.0,0.4238,Semiurban,Approved
LN000180,57,Female,Graduate,Salaried,7.0,0,52427,0.0,52427,143711,84,668.0,0,0,0.3914,173868.0,0.8266,Rural,Approved
LN000181,53,Male,Not Graduate,Salaried,2.0,1,33347,0.0,33347,79715,360,555.0,3,33574,12.1612,104213.0,0.7649,Urban,Rejected
LN000182,62,Female,Graduate,Self-Employed,7.0,1,67967,0.0,67967,231852,36,792.0,3,15886,3.9418,444360.0,0.5218,Semiurban,Approved
LN000183,64,Female,Graduate,Salaried,4.0,1,20611,,20611,100826,240,457.0,2,23151,13.7234,251467.0,0.401,Urban,Rejected
LN000184,44,Female,Not Graduate,Salaried,14.0,2,11036,33516.0,44552,75097,360,551.0,1,9336,2.5707,91117.0,0.8242,Rural,Rejected
