Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Employment_Length,Age,Loan_Status
A10140,Female,Yes,2,Not Graduate,No,52220,9368,214304,360,1,Urban,16,25,1
A10141,Male,Yes,0,Not Graduate,No,64688,35300,222898,360,1,Urban,5,31,1
A10142,Male,No,0,Graduate,No,64378,28081,99509,360,1,Urban,12,24,1
A10143,Male,Yes,1,Graduate,Yes,81168,0,210207,360,1,Rural,12,53,0
A10144,Male,Yes,1,Graduate,No,52728,12189,227816,240,1,Urban,3,45,1
A10145,Male,No,1,Graduate,No,44149,21309,145984,360,1,Urban,2,49,1
A10146,Female,No,2,Not Graduate,No,44438,28309,178245,360,1,Urban,20,35,1
A10147,Male,Yes,0,Graduate,No,72441,10800,68376,360,1,Semiurban,22,21,1
A10148,Male,No,0,Graduate,No,30196,12846,50000,360,1,Urban,19,41,1
A10149,Male,Yes,2,Graduate,No,36828,15947,360665,360,1,Semiurban,5,35,0
A10150,Female,No,0,Graduate,No,53554,21618,216386,300,1,Rural,19,30,1
A10151,Male,Yes,0,Graduate,Yes,47708,0,171286,360,1,Urban,24,37,1
A10152,Male,Yes,0,Not Graduate,No,64514,0,263858,360,1,Urban,24,45,1
A10153,Male,Yes,1,Graduate,No,29919,27545,130391,360,1,Semiurban,19,21,1
A10154,Female,No,0,Not Graduate,No,48995,5099,208812,180,1,Urban,8,50,0
A10155,Male,Yes,0,Not Graduate,No,47194,36226,288500,240,1,Semiurban,8,39,0
A10156,Female,Yes,0,Graduate,No,33916,6364,111834,360,1,Rural,10,21,1
A10157,Female,Yes,1,Graduate,No,63179,13150,160639,300,1,Semiurban,10,26,1
A10158,Male,No,0,Graduate,No,48623,18685,89538,240,1,Urban,3,52,1
A10159,Female,No,0,Graduate,No,47988,0,266817,180,1,Rural,5,56,0
A10160,Male,Yes,1,Graduate,No,37629,43643,216430,300,1,Semiurban,17,54,1
A10161,Female,Yes,2,Graduate,No,44452,11050,293735,300,1,Rural,5,25,0
A10162,Female,Yes,1,Not Graduate,No,34675,6614,267425,480,1,Rural,10,53,0
A10163,Male,Yes,1,Graduate,No,62956,3336,179086,360,1,Semiurban,23,27,1
A10164,Male,No,0,Graduate,No,65492,18617,232862,180,1,Semiurban,16,34,1
A10165,Female,Yes,0,Not Graduate,No,75200,17908,233717,360,1,Urban,23,54,1
A10166,Male,Yes,0,Not Graduate,No,56510,3673,258676,360,0,Urban,10,52,0
A10167,Male,Yes,2,Not Graduate,No,44911,1280,317313,240,1,Semiurban,10,47,0
A10168,Male,Yes,0,Not Graduate,No,42965,25552,112761,360,1,Semiurban,25,43,1
A10169,Male,Yes,2,Graduate,Yes,57359,8442,50000,180,1,Semiurban,17,32,1
A10170,Female,Yes,3,Not Graduate,Yes,53012,0,115901,360,1,Rural,29,50,0
A10171,Male,Yes,0,Not Graduate,No,47386,13520,237822,360,1,Urban,10,44,1
A10172,Male,Yes,0,Graduate,Yes,46068,10982,233100,360,1,Urban,24,27,1
A10173,Male,Yes,0,Graduate,No,67567,34500,154494,360,1,Urban,29,24,1
A10174,Female,Yes,0,Graduate,No,43522,9778,178258,480,1,Semiurban,6,28,1
A10175,Male,Yes,0,Graduate,No,70200,11917,133256,360,0,Urban,4,51,0
A10176,Female,No,2,Graduate,No,52732,17194,191432,360,1,Rural,25,47,1
A10177,Male,Yes,0,Graduate,No,44481,9291,144501,180,1,Semiurban,5,45,1
A10178,Female,Yes,0,Graduate,No,38220,19409,330944,240,1,Rural,13,55,0
A10179,Male,No,0,Graduate,No,47682,4831,305827,360,1,Semiurban,19,54,1
A10180,Male,Yes,2,Graduate,No,57550,12606,257903,480,1,Urban,18,25,1
A10181,Male,Yes,1,Not Graduate,No,44344,19068,202499,360,1,Urban,0,34,0
A10182,Female,Yes,2,Graduate,Yes,62755,26376,291135,360,1,Urban,6,24,0
A10183,Female,Yes,3,Graduate,No,43595,9138,207899,240,1,Semiurban,13,47,0
A10184,Male,Yes,0,Graduate,No,48128,9018,212894,480,1,Rural,11,42,1
A10185,Female,Yes,0,Graduate,No,30699,30412,61761,360,1,Rural,18,23,1
A10186,Female,No,0,Graduate,No,58392,9481,220854,300,1,Urban,16,41,1
A10187,Male,No,0,Graduate,No,45992,14432,96705,360,1,Urban,23,57,1
A10188,Male,Yes,1,Not Graduate,No,73683,32127,167773,480,1,Rural,6,27,1
A10189,Male,Yes,0,Graduate,No,60572,15674,213517,300,1,Semiurban,17,27,1
A10190,Male,Yes,0,Graduate,No,51267,12522,128104,360,1,Urban,11,49,1
A10191,Female,Yes,1,Graduate,No,68377,13268,238297,240,1,Rural,14,41,1
A10192,Female,Yes,1,Graduate,No,56076,7595,284138,480,1,Semiurban,8,57,0
A10193,Female,No,1,Not Graduate,No,65123,19507,129295,240,1,Rural,8,40,1
A10194,Male,Yes,0,Graduate,No,37064,5759,209391,480,1,Rural,16,26,0
A10195,Male,No,2,Not Graduate,No,56917,22785,100283,240,1,Semiurban,7,51,1
A10196,Female,No,0,Graduate,Yes,57540,15152,106646,480,1,Semiurban,2,27,1
A10197,Female,No,0,Graduate,No,26828,17354,224802,300,1,Semiurban,19,55,1
A10198,Female,Yes,1,Not Graduate,No,72599,32297,257074,360,1,Urban,13,47,1
A10199,Female,Yes,3,Not Graduate,Yes,32595,509,79261,180,1,Rural,10,22,0
A10200,Female,Yes,0,Not Graduate,No,30515,15244,363892,300,1,Rural,15,55,0
A10201,Male,Yes,0,Graduate,No,10000,21380,160249,300,1,Urban,11,49,1
A10202,Male,Yes,0,Not Graduate,No,57107,8837,216592,180,1,Rural,20,43,1
A10203,Female,Yes,0,Graduate,No,25354,24511,157270,360,1,Rural,18,49,1
A10204,Female,Yes,2,Not Graduate,No,42246,9553,177248,360,1,Urban,3,54,0
A10205,Male,Yes,0,Graduate,Yes,62568,17916,321467,180,1,Urban,17,38,1
A10206,Male,No,1,Graduate,Yes,52880,13765,320437,300,1,Semiurban,16,48,0
A10207,Female,Yes,1,Not Graduate,No,40644,16617,67964,180,1,Urban,18,50,1
A10208,Male,Yes,1,Graduate,No,26139,15739,154906,360,0,Rural,28,49,0
A10209,Male,Yes,0,Graduate,No,48385,14680,436051,240,1,Urban,13,42,0
A10210,Male,No,0,Not Graduate,No,62829,10265,165358,180,1,Urban,22,23,1
A10211,Female,Yes,0,Graduate,No,60512,8352,233814,360,1,Semiurban,29,56,1
A10212,Female,Yes,0,Graduate,No,76801,18159,290910,300,1,Rural,23,57,1
A10213,Male,Yes,0,Graduate,No,40198,15527,268260,180,0,Urban,14,45,0
A10214,Female,No,2,Graduate,No,30244,8079,50000,360,1,Urban,11,43,1
A10215,Male,No,0,Graduate,No,54649,18433,226717,360,0,Urban,15,21,0
A10216,Male,Yes,1,Graduate,No,53171,10374,339944,360,1,Semiurban,0,57,0
A10217,Female,Yes,0,Graduate,No,49927,30554,202351,300,0,Semiurban,12,41,0
A10218,Female,Yes,1,Graduate,No,38804,39891,116705,300,1,Semiurban,9,50,1
A10219,Female,Yes,3,Graduate,No,10199,28890,118230,480,0,Rural,2,52,0
A10220,Female,Yes,0,Graduate,Yes,34900,28333,184074,360,1,Urban,5,44,1
A10221,Male,No,2,Graduate,No,58356,23141,254017,300,0,Semiurban,24,57,0
A10222,Male,No,1,Not Graduate,No,54259,12901,431170,360,1,Semiurban,19,47,0
A10223,Male,Yes,2,Graduate,No,64478,0,176816,180,1,Rural,22,58,1
A10224,Male,Yes,1,Graduate,No,55177,4749,244957,300,1,Semiurban,14,55,1
A10225,Male,Yes,0,Graduate,Yes,61040,8232,76433,240,1,Urban,12,36,1
A10226,Female,No,0,Not Graduate,No,61470,27077,65203,360,1,Rural,17,24,1
A10227,Male,No,0,Graduate,Yes,50307,17561,160247,360,1,Rural,17,50,1
A10228,Female,Yes,0,Not Graduate,No,50412,8404,235635,360,1,Urban,28,38,1
A10229,Female,Yes,3,Graduate,Yes,10000,0,193093,300,1,Rural,6,26,0
A10230,Female,Yes,1,Graduate,No,40151,38181,204260,240,0,Rural,11,35,0
A10231,Male,Yes,0,Graduate,Yes,40798,20333,178040,240,1,Semiurban,22,27,1
A10232,Male,No,2,Not Graduate,Yes,48367,24085,197780,360,1,Semiurban,25,59,0
A10233,Male,Yes,1,Graduate,No,36044,9643,176493,180,1,Urban,26,57,1
A10234,Male,No,0,Graduate,No,64063,13613,92028,360,1,Urban,18,46,1
A10235,Female,Yes,0,Graduate,No,36777,11561,80679,240,0,Urban,16,59,0
A10236,Male,No,0,Graduate,No,66536,15643,308752,240,1,Urban,12,21,1
A10237,Male,Yes,2,Graduate,No,35582,33457,134142,180,1,Semiurban,29,46,1
A10238,Female,No,2,Graduate,No,40943,2957,180756,480,1,Urban,0,50,0
A10239,Male,Yes,0,Graduate,No,39802,14587,295195,180,1,Urban,2,43,1
A10240,Female,Yes,0,Not Graduate,No,42556,18608,178430,240,1,Urban,7,54,1
A10241,Female,Yes,1,Graduate,Yes,67679,13831,270198,300,0,Semiurban,26,23,0
A10242,Female,Yes,2,Not Graduate,Yes,45093,24953,128957,300,1,Urban,29,39,1
A10243,Male,Yes,1,Not Graduate,No,45475,0,324430,480,1,Urban,25,51,0
A10244,Male,Yes,1,Not Graduate,No,38873,33837,218161,240,1,Rural,8,59,0
A10245,Female,No,0,Not Graduate,No,46103,1294,197852,360,1,Urban,29,33,1
A10246,Male,Yes,0,Not Graduate,No,53246,3698,186814,360,1,Semiurban,10,49,1
A10247,Female,No,0,Graduate,No,46772,10505,261203,360,1,Rural,13,30,0
A10248,Female,No,2,Graduate,No,47745,8524,218898,300,1,Urban,16,37,1
A10249,Female,Yes,0,Graduate,No,65240,19245,50000,240,1,Semiurban,20,51,1
A10250,Male,Yes,2,Graduate,No,54104,18086,164156,240,0,Semiurban,6,48,0
A10251,Male,Yes,0,Graduate,No,32736,16135,225758,300,1,Rural,29,28,1
A10252,Female,Yes,2,Graduate,No,48721,821,122543,240,1,Rural,7,50,1
A10253,Male,Yes,0,Graduate,No,41924,13605,159692,480,1,Urban,1,59,1
A10254,Male,No,0,Not Graduate,No,57815,15197,168959,300,1,Urban,20,49,1
A10255,Male,Yes,1,Graduate,Yes,51544,27322,327598,360,1,Semiurban,7,33,0
A10256,Female,Yes,0,Graduate,No,66954,16994,247824,360,1,Rural,5,47,1
A10257,Female,Yes,2,Graduate,No,38899,18826,226323,240,1,Rural,23,23,0
A10258,Male,No,1,Graduate,No,47113,34624,106737,300,0,Rural,5,46,0
A10259,Male,Yes,0,Not Graduate,No,34038,3398,145224,180,1,Urban,17,48,1
A10260,Female,Yes,2,Graduate,No,49372,11118,268020,480,1,Urban,6,30,1
A10261,Female,Yes,2,Graduate,No,26951,3641,252808,300,1,Rural,1,39,0
A10262,Male,Yes,0,Graduate,No,54822,31065,86358,180,0,Urban,24,36,0
A10263,Male,No,2,Graduate,No,49168,31748,311952,360,1,Semiurban,1,49,0
A10264,Female,No,0,Graduate,No,52327,30285,131148,240,1,Urban,27,53,1
A10265,Female,Yes,0,Graduate,Yes,61822,20473,228664,360,0,Semiurban,27,46,0
A10266,Female,Yes,1,Graduate,No,53372,18805,418680,480,1,Rural,2,41,0
A10267,Female,Yes,0,Graduate,No,30848,10419,166529,480,0,Semiurban,28,58,0
A10268,Male,Yes,0,Not Graduate,No,41661,22694,213402,300,1,Semiurban,16,45,0
A10269,Male,Yes,0,Graduate,No,48797,2186,155296,360,1,Rural,6,36,1
A10270,Female,Yes,0,Graduate,Yes,45078,2152,214020,240,1,Urban,14,59,0
A10271,Female,Yes,2,Graduate,No,46910,10801,314010,180,1,Semiurban,29,22,1
A10272,Female,No,1,Graduate,Yes,74321,33870,184436,360,1,Semiurban,2,42,1
A10273,Female,Yes,3,Not Graduate,No,51505,9865,176455,360,1,Urban,26,22,1
A10274,Male,No,1,Graduate,No,55733,11216,288284,480,1,Urban,21,31,1
A10275,Male,Yes,0,Not Graduate,No,19867,17877,98941,480,0,Semiurban,16,37,0
A10276,Female,Yes,0,Graduate,No,61190,23986,206649,300,1,Semiurban,29,48,1
A10277,Female,No,0,Not Graduate,No,92779,27520,141784,300,1,Rural,14,24,1
A10278,Female,Yes,2,Graduate,No,70184,3796,180961,300,1,Urban,22,47,1
A10279,Female,Yes,0,Graduate,Yes,43397,14033,129012,360,0,Urban,16,22,0
A10280,Female,Yes,0,Graduate,Yes,84215,17245,85695,180,1,Semiurban,16,56,1
A10281,Male,Yes,2,Graduate,No,50412,18247,50000,360,0,Semiurban,17,58,0
A10282,Male,No,1,Graduate,No,54598,23657,163782,180,1,Semiurban,20,56,1
A10283,Male,No,0,Graduate,Yes,45988,23200,218235,300,1,Semiurban,0,25,0
A10284,Male,Yes,0,Not Graduate,No,45600,15254,265059,180,1,Urban,28,48,1
A10285,Male,Yes,2,Graduate,No,16278,26523,93162,360,1,Semiurban,9,29,1
A10286,Male,Yes,2,Graduate,No,61812,24687,212184,300,1,Semiurban,15,34,1
A10287,Male,Yes,0,Not Graduate,No,45545,23883,244740,300,0,Semiurban,29,41,0
A10288,Male,Yes,0,Graduate,No,47179,9711,228815,480,1,Semiurban,2,32,1
A10289,Male,Yes,2,Not Graduate,No,54100,22128,220620,300,0,Urban,6,35,0
A10290,Male,Yes,1,Graduate,No,43781,27035,50000,360,1,Semiurban,18,48,1
A10291,Male,Yes,2,Graduate,No,53957,9861,190432,360,0,Rural,6,31,0
A10292,Female,Yes,0,Graduate,No,68045,16315,193417,360,1,Urban,22,40,1
A10293,Male,Yes,2,Not Graduate,No,56072,30647,243630,300,1,Urban,4,47,0
A10294,Male,Yes,0,Not Graduate,No,47697,18964,310999,180,1,Urban,19,52,1
A10295,Male,No,0,Not Graduate,Yes,48147,14121,179269,480,0,Urban,5,33,0
A10296,Female,No,1,Graduate,No,53008,29616,172403,300,1,Rural,25,24,1
A10297,Male,Yes,0,Not Graduate,No,37517,10295,210442,240,1,Rural,4,34,0
A10298,Female,Yes,2,Graduate,No,53117,0,201742,480,1,Semiurban,29,26,1
A10299,Male,No,0,Graduate,Yes,60268,7208,234597,240,0,Rural,20,23,0
A10300,Male,No,2,Not Graduate,No,51312,26360,242326,360,1,Urban,6,50,0
A10301,Male,No,0,Graduate,No,43638,20206,185910,360,0,Semiurban,28,32,0
A10302,Male,Yes,1,Graduate,No,45693,15681,239939,360,1,Semiurban,13,26,1
A10303,Female,No,0,Graduate,No,59782,25611,182498,180,1,Urban,28,45,1
A10304,Female,Yes,1,Not Graduate,No,33497,16668,83964,240,1,Semiurban,12,47,1
A10305,Female,No,1,Graduate,No,37753,12776,107502,360,0,Rural,6,55,0
A10306,Male,No,0,Graduate,No,25896,23351,50000,360,1,Rural,5,55,1
A10307,Male,Yes,0,Not Graduate,No,50509,11179,333016,360,1,Urban,22,27,0
A10308,Female,No,0,Graduate,No,62928,19902,302820,300,1,Rural,14,40,1
A10309,Male,Yes,2,Graduate,No,69972,7052,282776,360,1,Semiurban,27,30,1
A10310,Male,No,0,Graduate,No,73229,4454,182689,300,1,Semiurban,9,31,1
A10311,Male,Yes,0,Not Graduate,No,39642,6342,278134,240,1,Urban,27,27,1
A10312,Male,No,0,Graduate,No,53750,14739,271822,480,0,Semiurban,1,36,0
A10313,Female,Yes,2,Graduate,No,43965,8520,83666,240,1,Urban,3,23,1
